"dbID";"planeID";"ADSHEX";"longitude";"latitude";"altitude";"radarID";"aircraft";"departing";"destination";"dateTime"
62;"8e2ebfe";"ABC651";25.4215;122.3677;39000.0;"F-RCSS1";"A332";"HKG";"NRT";"2016-02-22 14:21:24"
63;"8e2e6df";"";39.6533;-87.1029;42999.0;"T-MLAT2";"GLF4";"";"";"2016-02-22 14:21:24"
64;"8e2df68";"A47D69";27.0364;-141.2954;40000.0;"T-FAA1";"A332";"HNL";"LAX";"2016-02-22 14:21:24"
65;"8e29e50";"8960F6";22.3131;92.2269;37000.0;"F-VGZR1";"A388";"DXB";"PVG";"2016-02-22 14:21:24"
66;"8e2e05c";"3C651A";45.5763;-52.4176;39225.0;"F-CYYT2";"A346";"BOS";"MUC";"2016-02-22 14:21:24"
67;"8e2c4f7";"39BD24";48.0616;-46.7639;39000.0;"T-F5M";"A388";"JFK";"CDG";"2016-02-22 14:21:24"
68;"8e2f435";"76AA68";8.2143;101.9087;37025.0;"F-WMKA2";"A320";"BKK";"SIN";"2016-02-22 14:21:24"
69;"8e1f23b";"8880DF";41.9019;37.1933;37975.0;"F-LTFH1";"B789";"SGN";"LHR";"2016-02-22 14:21:24"
70;"8e3066b";"";33.0967;131.146;39000.0;"T-MLAT5";"FA7X";"";"";"2016-02-22 14:21:24"
71;"8e296d7";"42499A";65.4586;57.964;38000.0;"F-UUYS1";"B738";"YKS";"VKO";"2016-02-22 14:21:24"
72;"8e2e458";"";33.8618;-85.5537;40999.0;"T-MLAT2";"C55B";"";"";"2016-02-22 14:21:24"
73;"8e2db41";"C04416";33.0715;-88.8354;38000.0;"T-MLAT2";"A319";"YYZ";"MEX";"2016-02-22 14:21:24"
74;"8e2cb47";"424612";20.9241;91.1746;37000.0;"F-VGCB1";"B772";"DME";"HKT";"2016-02-22 14:21:24"
75;"8e3046c";"";32.2389;-98.2033;38000.0;"F-KEDC2";"GLF5";"";"";"2016-02-22 14:21:24"
76;"8e2f269";"80051A";26.1148;74.9357;37000.0;"F-VIKO2";"A320";"PNQ";"DEL";"2016-02-22 14:21:24"
77;"8e2e180";"ABEBBE";39.1931;-74.2565;37000.0;"F-KTTN1";"B738";"TPA";"PVD";"2016-02-22 14:21:24"
78;"8e2eab5";"800B80";18.8297;77.4718;39000.0;"F-VAPO2";"B737";"AMD";"HYD";"2016-02-22 14:21:24"
79;"8e21d80";"868012";56.3487;124.9003;37000.0;"F-UEEA1";"B77W";"LHR";"HND";"2016-02-22 14:21:24"
80;"8e2f29a";"C00CD6";46.5169;-84.5816;38000.0;"F-KCIU1";"B737";"YYZ";"YQR";"2016-02-22 14:21:24"
81;"8e2f29c";"AAEEC5";35.4554;-113.2452;38050.0;"T-MLAT2";"A319";"DEN";"PSP";"2016-02-22 14:21:24"
82;"8e281b1";"4BAB24";28.0191;-2.4812;38000.0;"F-DAUT1";"B739";"IST";"NKC";"2016-02-22 14:21:24"
83;"8e2e982";"E48F02";-9.0668;-38.9088;39000.0;"F-SBUF1";"B738";"BSB";"NAT";"2016-02-22 14:21:24"
84;"8e2e236";"4B85D0";44.1573;26.7546;37000.0;"F-LBRS1";"B738";"CPH";"SAW";"2016-02-22 14:21:24"
85;"8e1d6ae";"3C4A8B";46.0022;20.8859;38000.0;"F-LYBE1";"B744";"BKK";"FRA";"2016-02-22 14:21:24"
86;"8e2e987";"750221";13.123;98.7209;38000.0;"F-VTBS2";"B738";"KUL";"DAC";"2016-02-22 14:21:24"
87;"8e2f503";"880019";19.183;112.4061;40000.0;"F-ZGNU1";"B772";"HKG";"HKT";"2016-02-22 14:21:24"
88;"8e2efbb";"AA3417";41.3873;-70.3244;38675.0;"F-KBOS3";"B772";"JFK";"LHR";"2016-02-22 14:21:24"
89;"8e2f504";"7608EA";27.2725;69.0168;40000.0;"F-OPRK1";"B772";"ISB";"KHI";"2016-02-22 14:21:24"
90;"8e2f34c";"AB628C";36.7361;-103.371;37000.0;"F-KLVS1";"B738";"PHX";"MDW";"2016-02-22 14:21:24"
91;"8e2f34a";"841EFE";34.8256;134.8184;38025.0;"F-RJGG1";"A320";"HND";"KKJ";"2016-02-22 14:21:24"
92;"8e2e8f8";"71C276";2.9365;113.7091;39000.0;"F-WBGB1";"A332";"CGK";"ICN";"2016-02-22 14:21:24"
93;"8e2f34f";"ABD8E4";41.3608;-95.733;38000.0;"F-KDSM2";"B738";"MDW";"DEN";"2016-02-22 14:21:24"
94;"8e2c1ff";"0C2045";18.108;-98.161;39350.0;"F-MMOX1";"B738";"PTY";"MEX";"2016-02-22 14:21:24"
95;"8e2f293";"ABD57E";36.4876;-102.8096;37000.0;"F-KLVS1";"B738";"PHX";"STL";"2016-02-22 14:21:24"
96;"8e2e3e5";"A9249C";32.1941;-78.3165;37975.0;"F-KCHS1";"B739";"EWR";"FLL";"2016-02-22 14:21:24"
97;"8e2f299";"A0F9BB";44.9952;-112.0516;38000.0;"T-MLAT2";"CRJ7";"DEN";"MSO";"2016-02-22 14:21:24"
98;"8e2dedb";"4CC270";54.0171;-62.9325;37000.0;"F-CYYR1";"B752";"BOS";"KEF";"2016-02-22 14:21:24"
99;"8e2c7f9";"C0259E";38.1344;-140.8485;38000.0;"T-F5M";"B763";"OGG";"YYC";"2016-02-22 14:21:24"
100;"8e2e66d";"E8020F";-16.2439;-37.4992;37000.0;"F-SBPS1";"B788";"GRU";"MXP";"2016-02-22 14:21:24"
101;"8e28ae2";"A47CBA";33.9263;-113.8189;38000.0;"F-KPHX3";"B763";"MIA";"LAX";"2016-02-22 14:21:24"
102;"8e292f5";"30061E";43.8441;26.7149;40000.0;"F-LBBG3";"A332";"AUH";"VCE";"2016-02-22 14:21:24"
103;"8e2f341";"E48B02";-3.5747;-45.7501;38000.0;"F-SJBY1";"B738";"FOR";"MAO";"2016-02-22 14:21:24"
104;"8e2c1f8";"";34.6694;5.6721;45000.0;"F-LDAU1";"FA7X";"";"";"2016-02-22 14:21:24"
105;"8e2f613";"780A80";23.1814;119.5981;39000.0;"F-RCKU1";"A333";"HKG";"NRT";"2016-02-22 14:21:24"
106;"8e272c7";"AA6BC0";27.7188;162.7764;38000.0;"T-FAA1";"B772";"HNL";"NRT";"2016-02-22 14:21:24"
107;"8e279d8";"40058C";23.1525;36.9451;37775.0;"F-OEYN1";"B772";"LHR";"JED";"2016-02-22 14:21:24"
108;"8e2f5e7";"A52C8D";39.1315;-120.4768;40000.0;"T-KSJC18";"B737";"SNA";"PDX";"2016-02-22 14:21:24"
109;"8e2e206";"A2C35B";40.5062;-94.4993;39000.0;"F-KSUX1";"B737";"IAH";"MSP";"2016-02-22 14:21:24"
110;"8e2db6b";"7503DF";-11.6226;106.087;37000.0;"T-WIIB1";"B738";"KUL";"PER";"2016-02-22 14:21:24"
111;"8e2f183";"E48255";-16.7801;-40.8855;37025.0;"T-EST1";"A320";"";"";"2016-02-22 14:21:24"
112;"8e2ed27";"C06800";38.1617;-87.7524;38000.0;"T-MLAT2";"CRJ9";"YYZ";"IAH";"2016-02-22 14:21:24"
113;"8e2e525";"8A02D5";-5.3617;118.2496;39000.0;"F-WAAA2";"B738";"CGK";"AMQ";"2016-02-22 14:21:24"
114;"8e2d86a";"750258";-6.3489;111.4664;37000.0;"F-WIIS3";"A333";"KUL";"SYD";"2016-02-22 14:21:24"
115;"8e2f96c";"4844A5";49.7629;63.572;38000.0;"F-UAUU1";"A320";"TSE";"GUW";"2016-02-22 14:21:24"
116;"8e20478";"896352";42.2196;15.4875;40000.0;"F-LDLO1";"A332";"SEZ";"CDG";"2016-02-22 14:21:24"
117;"8e275e9";"76CEE2";-8.4559;114.8791;38000.0;"F-WRRA1";"B77W";"SYD";"SIN";"2016-02-22 14:21:24"
118;"8e2b427";"861F44";15.9399;121.5048;37000.0;"F-RPLL1";"B763";"CGK";"NRT";"2016-02-22 14:21:24"
119;"8e231c5";"00B0EC";-5.2177;15.8656;37000.0;"F-FZAB2";"A346";"FRA";"JNB";"2016-02-22 14:21:24"
120;"8e2f2f5";"A1CFD3";37.5766;-119.4528;37000.0;"T-MLAT2";"CRJ7";"PDX";"ONT";"2016-02-22 14:21:24"
121;"8e2f760";"AB942F";42.0952;-112.0796;37975.0;"T-MLAT2";"A319";"DEN";"PDX";"2016-02-22 14:21:24"
122;"8e2f763";"70C0C4";14.7675;95.4857;37975.0;"F-VYYY3";"A333";"BKK";"MCT";"2016-02-22 14:21:24"
123;"8e2f764";"8A0577";-6.4749;111.3886;40000.0;"F-WIIS3";"A333";"DPS";"CGK";"2016-02-22 14:21:24"
124;"8e2f985";"AC74E4";41.3281;-94.785;38000.0;"T-MLAT2";"B737";"MDW";"LAS";"2016-02-22 14:21:24"
125;"8e2ff2e";"A9FB9D";34.296;-107.5871;39000.0;"T-MLAT2";"B737";"PHX";"BNA";"2016-02-22 14:21:24"
126;"8e275ed";"040088";22.7395;85.8207;41000.0;"F-VERC1";"B788";"ADD";"PVG";"2016-02-22 14:21:24"
127;"8e24d03";"8005ED";31.4315;69.5165;38975.0;"F-OPFA3";"B788";"CDG";"DEL";"2016-02-22 14:21:24"
128;"8e2f967";"ACE965";36.3084;-89.9394;37000.0;"T-MLAT2";"E145";"DFW";"CVG";"2016-02-22 14:21:24"
